MOVIE,WEEKEND,TDOMGROSS
Biker Dreams,0.000349,0.000349
Hallelujah! Ron Athey: A Story of Deliverance,0.000719,0.000719
Vietnam Long Time Coming,0.000863,0.00951
Storefront Hitchcock,0.001803,0.003073
Thursday,0.001971,0.001971
River Red,0.002197,0.002197
Reach the Rock,0.003317,0.00496
Hit Me,0.003348,0.003348
Summer of the Monkeys,0.003391,0.0225
Der Unhold,0.0035,0.0035
Ayneh,0.003741,0.04497
Dear Jesse,0.003748,0.015631
Hi-Life,0.003773,0.007957
Hard Core Logo,0.003864,0.01454
Savior,0.003898,0.012903
"Last Big Thing, The",0.004165,0.022434
Chicago Cab,0.004485,0.004485
"Souler Opposite, The",0.004801,0.004801
Qin song,0.005129,0.071906
Edge of Seventeen,0.005302,0.005302
Sue,0.005376,0.005376
Full Tilt Boogie,0.005659,0.005659
Some Nudity Required,0.006,0.006
"De noche vienes, Esmerelda",0.006104,0.015591
El Dia de la Bestia,0.006479,0.015324
Talk of Angels,0.006876,0.015546
Somewhere in the City,0.007016,0.00716
Outside Ozona,0.007394,0.007394
Life During Wartime,0.007787,0.055986
La Femme de chambre du Titanic,0.007902,0.244465
Il Testimone dello Sposo,0.008815,0.089263
Ten Benny,0.009003,0.009003
Unmade Beds,0.009615,0.009615
Ta'm e guilass,0.009688,0.311873
Regarde la mer,0.010268,0.049476
"First Love, Last Rites",0.010876,0.040542
Die Salzmanner von Tibet,0.01116,0.146437
"Brandon Teena Story, The",0.011281,0.040999
God Said "Ha!",0.012022,0.052324
"Cruise, The",0.012127,0.238434
Gadjo dilo,0.012136,0.673153
All the Rage,0.012508,0.097433
Die Sibtelbauern,0.012606,0.196452
Leather Jacket Love Story,0.012784,0.012784
I Married a Strange Person!,0.013472,0.203134
Illtown,0.014478,0.014478
"Theory of Flight, The",0.015179,0.071999
"Alan Smithee Film, An: Burn Hollywood Burn",0.015447,0.015447
Shadrach,0.016669,0.016669
Digging to China,0.019162,0.033556
Regeneration,0.019273,0.019273
Lolita,0.019492,1.06
Another Day in Paradise,0.019749,1.025
Welcome to Woop Woop,0.019812,0.035471
Arguing the World,0.019845,0.047044
Insomnia,0.020366,0.221173
"Land Girls, The",0.020921,0.146083
Safe Men,0.02121,0.02121
Men With Guns,0.022132,0.742032
La Tregua,0.023165,0.071448
"Hi-Lo Country, The",0.023725,0.16381
"General, The",0.026771,1.211
Festen,0.027621,1.647
Unagi,0.029879,0.394632
