Original Row Number,02 Gender,03 Height (in.),04 Weight (lbs.),05 Desired Weight (lbs.),06 Class Level,07 Born in TN?,08 Member of Frat/Sorority?,09 Current GPA,10 Where Do You Sit?,11 Type Of Computer Used?,12 Text Messages Sent Per Day,13 $ Spent on Haircut,14 Percent of Tuition You Pay,15 One or More Parents College Grad?,16 Hours Working a Job Per Week,17 Minutes Per Day on "Facebook",18 Talk on Cell Phone While Driving?,19 Read Text Messages While Driving?,20 Send Text Messages While Driving?,21 Number of Tattoos,22 Number of Body Piercings,23 Grade in Math 125,24 Expected Grade in Stat 201,25 Left or Right Handed?,26 Hand You Hold Phone to Ear,27 Which Wrist Wear Watch,28 Introvert or Extravert,29 Fold or Crumple Toilet Paper,30 Hours per Week Playing Video Games,31 Fold Hands - Thumb on Top?,32 Fuel Efficiency (mpg),33 Distance from Home to UT,34 Hair Color,35 Own an e-Reader?,36 Percentage Dateable,37 Cell Phone Contacts,38 Cell Phone Contacts Gender Majority,39 Right Foot Bigger Toe,40 Left Foot Bigger Toe,41 Percent UT You Are More Attractive Than,42 Percent UT You Are More Intelligent Than,43 Percent UT You Are More Athletic Than,44 Percent UT You Are Funnier Than,45 Percent UT You Are More Wealthy Than,46 Change in Pocket/Purse,47 Significant Other?,48 Your Own Attractiveness Rating,49 Number of Vol Football Games Attended,50 Favorite TV Show,Studentized Resid 42 Percent UT You Are More Intelligent Than,h 42 Percent UT You Are More Intelligent Than,Cook's D Influence 42 Percent UT You Are More Intelligent Than
1,Female,72,160,155,Junior,Yes,Yes,3.7,Around the Middle,PC,100,60,0,Yes,0,60,Frequently,Frequently,Occasionally,0,6,A,A,Left,Left,Right,Introvert,Fold,0,Left,20,7.5,Brown,No,20,250,Same,Big Toe,Big Toe,85,90,70,70,75,0.12,No,85,35,Gossip Girl,0.9393122955,0.0282336834,0.0010681063
2,Female,62,110,105,Sophomore,No,No,3.74,Around the Middle,PC,100,20,30,Yes,17.5,60,On Rare Occasions,Frequently,Never,1,2,A,A,Right,Right,Left,Introvert,Fold,0,Left,0,107,Blond,No,40,135,Same,Big Toe,Big Toe,30,50,10,5,20,0,Yes,40,7,Grey's Anatomy!,0.7595862304,0.0249149131,0.0006142707
3,Female,63,200,125,Junior,No,No,3.3,Near the Front,Mac,10,115,0,Yes,4,60,Frequently,Frequently,On Rare Occasions,1,3,A,A-,Right,Right,Left,Introvert,Fold,0,Left,32,107,Brown,No,2,75,Females,Big Toe,Big Toe,0.5,99,1,50,50,8,No,5,2,west wing,2.9627783011,0.0635622228,0.0248260268
4,Male,72,125,160,Junior,No,Yes,3.5,The Front Row,Mac,100,12,0,Yes,15,60,Frequently,Occasionally,Occasionally,1,0,B-,A-,Left,Left,Right,Extravert,Fold,0,Left,32,199,Black,No,40,400,Females,Second Toe,Second Toe,30,75,35,35,35,55.25,No,60,8,LOST,1.7665986948,0.0403745043,0.0054710413
5,Female,60,140,125,Sophomore,No,Yes,3.33,Near the Front,Mac,250,60,0,Yes,10,5,Occasionally,Occasionally,Occasionally,1,5,A,A-,Right,Right,Right,Extravert,Fold,0,Right,22,13.2,Brown,No,2,287,Females,Big Toe,Big Toe,45,60,50,30,20,0,Yes,70,30,glee!,0.8556964563,0.020825767,0.0006488873
6,Male,70,160,160,Sophomore,Yes,No,4,Around the Middle,Mac,60,20,0,Yes,17,60,Occasionally,Frequently,On Rare Occasions,0,0,A,A,Right,Right,Left,Introvert,Fold,1,Right,16,102,Black,No,75,287,Same,Second Toe,Second Toe,50,75,40,40,40,0.03,Yes,65,10,The Daily Show,1.1050242786,0.0192470511,0.0009984745
7,Male,73,190,185,Sophomore,Yes,Yes,3.03,Around the Middle,PC,15,17,0,Yes,0,0.2,Occasionally,Occasionally,Occasionally,0,0,C,A,Right,Right,Left,Extravert,Varies,0.1,Left,16,381.1,Brown,No,50,165,Males,Big Toe,Big Toe,0,80,80,50,50,6,No,1,10,Man vs Wild,1.9286421083,0.0448473652,0.0072770641
8,Male,70,165,185,Sophomore,No,Yes,3.75,Around the Middle,PC,80,16,100,No,0,30,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,0,A,A,Right,Varies,Left,Extravert,Fold,1,Left,20,334,Black,No,20,403,Same,Same,Same,60,85,80,85,40,0,No,80,10,Eastbound and down,0.456205204,0.024791344,0.0002204508
9,Male,72,200,190,Sophomore,Yes,No,3.77,Near the Front,PC,100,0,0,Yes,0,60,Occasionally,Frequently,Frequently,0,0,A,A,Right,Left,Left,Introvert,Fold,15,No Thumbs,25,89.5,Brown,No,15,107,Males,Big Toe,Big Toe,100,100,100,100,100,60,No,100,20,Seinfeld,-0.099082861,0.0341889178,0.0000144803
10,Female,64,135,128,Sophomore,Yes,Yes,2.9,Near the Back,PC,50,45,0,Yes,0,1,Frequently,Frequently,Occasionally,0,2,A-,A-,Right,Varies,Left,Extravert,Fold,1,Left,13,7.62,Blond,No,6,30,Females,Big Toe,Big Toe,50,45,50,55,40,0.89,Yes,70,45,Dexter,-0.477463178,0.0122132106,0.0001174452
11,Male,76,240,220,Senior,No,No,2.8,Around the Middle,Mac,50,15,0,No,40,60,Occasionally,Frequently,Frequently,0,0,B,B,Left,Left,Right,Extravert,Fold,0,Left,22,1,Blond,No,80,150,Same,Same,Same,50,50,50,75,50,0,Yes,85,35,Pawn Stars,-0.224966294,0.0373353225,0.000081784
12,Female,68,150,140,Sophomore,No,Yes,3.45,Around the Middle,Mac,50,40,0,Yes,0,60,Occasionally,Occasionally,Occasionally,0,2,B+,A-,Right,Right,Right,Extravert,Crumple,0,Left,22,191,Brown,No,50,380,Females,Big Toe,Big Toe,50,50,70,50,70,20,No,70,10,lost,-0.58739301,0.0135291338,0.000197166
13,Female,63,120,115,Sophomore,No,No,3.5,Near the Front,PC,20,35,85,Yes,10,5,Occasionally,On Rare Occasions,On Rare Occasions,0,2,A,B,Left,Varies,Left,Introvert,Varies,0,Left,25,381,Brown,No,75,75,Same,Big Toe,Big Toe,15,25,7,5,10,1,Yes,40,6,Greys Anatomy,-0.8651078,0.0280402757,0.0008996285
14,Female,60,115,110,Other,Yes,Yes,3.56,Around the Middle,PC,50,40,0,Yes,0,30,Frequently,On Rare Occasions,On Rare Occasions,0,2,A,A,Right,Varies,Left,Extravert,Crumple,1,Left,35,351,Brown,No,15,298,Females,Big Toe,Big Toe,50,70,20,40,50,1.27,Yes,70,40,Law & Order SVU,0.6294501731,0.0194304543,0.0003271267
15,Male,75,170,170,Sophomore,Yes,No,3.65,Near the Front,Mac,10,10,0,Yes,0,20,Occasionally,On Rare Occasions,On Rare Occasions,0,0,A,A,Right,Left,Left,Introvert,Fold,10,Left,24,30.6,Blond,No,5,158,Males,Same,Second Toe,90,95,65,50,90,0,Yes,80,20,Chuck,0.7592372583,0.0212917759,0.0005225194
16,Female,60,140,115,Junior,Yes,Yes,3.28,The Front Row,PC,30,20,0,Yes,0,120,Never,Never,Never,0,2,B-,B,Left,Left,Right,Introvert,Fold,0,Right,0,98.5,Blond,No,20,218,Females,Big Toe,Big Toe,10,60,0,10,20,0,No,50,12,One Tree Hill,1.7710528343,0.0205837514,0.002746686
17,Female,63,120,115,Sophomore,Yes,No,3.96,Near the Front,Mac,4,50,50,Yes,0,30,Occasionally,On Rare Occasions,On Rare Occasions,0,3,A,A,Right,Right,Left,Introvert,Varies,0,Left,20,1.75,Brown,No,5,30,Females,Second Toe,Second Toe,40,75,60,50,50,0,No,60,10,Big Bang theory,0.5307421219,0.0148958898,0.0001774762
18,Female,67,136,128,Sophomore,Yes,No,3.53,Around the Middle,Mac,150,35,75,Yes,8,90,Frequently,Frequently,Occasionally,0,2,B+,A,Right,Right,Left,Introvert,Fold,2,Right,21,193,Brown,No,15,300,Same,Second Toe,Second Toe,40,80,40,20,50,0,No,68,16,Gilmore Girls,1.5757010679,0.0123034322,0.0012886624
19,Female,68,160,145,Sophomore,Yes,Yes,3.55,Near the Front,Mac,115,25,0,No,0,180,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,0,7,A-,A,Right,Right,Left,Extravert,Fold,0,Left,16,22.5,Brown,No,1,329,Males,Big Toe,Same,45,88,20,79,30,3.47,No,75,10,family guy,2.1460839089,0.0352202928,0.0070056261
20,Female,64,125,120,Sophomore,Yes,Yes,3.43,Around the Middle,Mac,70,27,0,No,0,90,Occasionally,Frequently,Frequently,0,2,B,B+,Right,Right,Left,Introvert,Fold,0,Right,22,182,Brown,No,20,309,Females,Big Toe,Big Toe,40,50,75,60,35,1.68,No,65,7,Grey's Anatomy,-0.258095624,0.0122453218,0.0000344089
21,Female,69,150,140,Sophomore,Yes,Yes,3.05,Around the Middle,PC,30,30,95,Yes,0,240,On Rare Occasions,Frequently,Frequently,0,2,B+,B,Right,Right,Left,Extravert,Fold,0,Left,17.5,231.5,Brown,No,35,166,Females,Second Toe,Second Toe,69,50,69,50,30,0.62,Yes,70,10,Grey's Anatomy,-0.702290483,0.0254885817,0.0005375032
22,Female,68,145,135,Sophomore,Yes,No,2.4,Around the Middle,PC,120,50,0,No,0,120,On Rare Occasions,Frequently,Occasionally,0,2,A,B,Right,Right,Left,Extravert,Fold,0,Left,25,368,Blond,No,50,280,Same,Big Toe,Big Toe,40,30,75,45,30,3.56,No,77,11,Bones,-0.635612823,0.0183045675,0.000313875
23,Female,69,135,135,Junior,No,No,3.2,Around the Middle,PC,30,30,100,No,25,20,Occasionally,Occasionally,Occasionally,3,10,A,A,Right,Left,Left,Extravert,Crumple,1,Right,22.8,4.3,Brown,Yes,50,102,Males,Big Toe,Big Toe,50,60,25,25,25,2.26,Yes,75,2,Dexter,0.7166620566,0.0693439486,0.0015945456
24,Female,64,135,132,Sophomore,Yes,No,3.97,Near the Front,Mac,63,0,0,Yes,0,1,On Rare Occasions,Never,Never,0,2,A,A,Right,Left,Left,Extravert,Fold,0,Right,21,181,Brown,No,5,299,Same,Same,Big Toe,50,50,75,25,50,0,Yes,93,12,The Office,-0.517478196,0.0207344487,0.0002362462
25,Male,67,145,150,Senior,Yes,No,3.47,Around the Middle,PC,10,20,0,Yes,0,0,Occasionally,On Rare Occasions,On Rare Occasions,0,0,A,A,Right,Varies,Left,Extravert,Fold,1,Right,20,120,Brown,No,5,375,Males,Same,Same,80,85,70,70,90,0,Yes,75,15,Its always sunny in philidelphia,0.3208572401,0.017406853,0.0000759904
