GPA,PMAttractive,PMIntelligent,PMAthletic,PMFunnier,PMWeathier,Gender,Handedness,Personality,HairColor,SigOther,TextsPerDay,CellPhoneContacts
3.1,60,80,80,50,50,Male,Right,Introvert,Brown,No,10,1
3.87,93,85,65,100,88,Male,Ambidextrous,Extrovert,Blond,Yes,250,18
2.9,69,60,50,80,35,Female,Ambidextrous,Introvert,Brown,No,5,19
3.15,100,100,100,100,0,Male,Ambidextrous,Extrovert,Black,Yes,15,19
2.8,30,3,20,10,50,Female,Right,Introvert,Black,No,3,20
3.2,30,70,75,80,80,Female,Right,Extrovert,Blond,No,3,20
2.9,40,60,40,97,98,Male,Ambidextrous,Extrovert,Brown,No,4,20
2,50,60,30,70,80,Male,Right,Extrovert,Brown,Yes,5,20
3.57,10,75,1,20,75,Female,Right,Introvert,Black,Yes,20,20
3.03,95,80,70,25,35,Female,Right,Introvert,Brown,Yes,50,20
3.12,50,15,10,0,90,Male,Right,Introvert,Blond,Yes,250,20
2.44,78,85,60,35,43,Male,Right,Introvert,Brown,Yes,25,24
3.83,40,80,20,50,20,Female,Right,Introvert,Brown,No,1,25
3.5,80,75,40,40,40,Female,Right,Extrovert,Brown,No,1,25
2.8,50,40,10,50,70,Female,Right,Introvert,Black,No,5,25
3.4,51,49,75,65,52,Female,Right,Introvert,Brown,Yes,20,25
2.89,52,49,15,75,72,Male,Right,Introvert,Black,No,25,25
2.41,40,55,0,75,50,Female,Right,Extrovert,Red,Yes,10,28
3.19,70,70,50,25,65,Female,Right,Introvert,Blond,No,2,30
3.96,40,75,60,50,50,Female,Right,Introvert,Brown,No,4,30
2.5,50,50,50,75,25,Male,Right,Introvert,Brown,No,5,30
2.7,50,50,30,70,40,Male,Right,Introvert,Black,No,7,30
3.83,50,50,90,70,40,Female,Ambidextrous,Extrovert,Blond,No,10,30
2.8,50,30,40,70,50,Female,Right,Introvert,Brown,Yes,10,30
2.9,50,45,50,55,40,Female,Right,Extrovert,Blond,Yes,50,30
2.9,50,50,50,50,50,Female,Right,Introvert,Brown,Yes,1,33
3.4,75,60,80,50,30,Male,Left,Introvert,Brown,No,3,33
3,50,70,60,80,30,Male,Right,Introvert,Brown,No,12,34
3.4,60,60,75,40,40,Male,Right,Introvert,Brown,Yes,50,35
3.96,75,80,30,95,50,Female,Right,Introvert,Brown,No,6,36
3,60,55,50,40,60,Female,Right,Introvert,Brown,No,10,36
4,50,90,40,30,40,Female,Right,Introvert,Blond,Yes,30,36
3.52,20,50,20,35,20,Female,Right,Introvert,Brown,No,2,38
2.64,0,95,0,85,0,Male,Left,Introvert,No Hair,No,5,40
4,40,80,20,30,50,Female,Right,Introvert,Blond,No,20,40
3,50,50,50,65,88,Male,Right,Extrovert,Blond,No,20,40
3.93,50,90,1,68,36,Male,Right,Introvert,Brown,Yes,37,40
3.49,5,20,5,25,15,Female,Right,Introvert,Brown,Yes,40,40
2.84,35,50,60,30,20,Female,Right,Introvert,Brown,Yes,50,40
3.5,40,50,30,60,50,Male,Right,Introvert,Blond,Yes,50,40
2.29,50,50,60,75,30,Female,Right,Extrovert,Brown,Yes,50,40
2.74,85,50,99,70,40,Male,Right,Introvert,Brown,No,100,40
0,50,50,67,55,50,Male,Right,Introvert,Black,No,100,40
3.62,25,40,50,30,25,Female,Right,Extrovert,Brown,No,15,41
2.81,50,50,50,70,45,Female,Right,Extrovert,Brown,Yes,50,41
3.48,95,65,70,50,35,Male,Right,Extrovert,Black,Yes,75,43
3.1,25,10,20,40,20,Female,Right,Introvert,Brown,Yes,50,44
2.9,95,85,85,85,80,Male,Right,Introvert,Brown,No,15,45
3.85,25,55,19,45,30,Male,Right,Introvert,Brown,Yes,20,45
3.25,40,60,15,20,15,Female,Right,Introvert,Brown,No,25,45
2.5,65,30,40,60,50,Female,Right,Introvert,Brown,Yes,100,45
2.3,75,75,50,50,50,Female,Right,Introvert,Brown,Yes,15,49
0,35,80,68,20,70,Male,Right,Introvert,Blond,No,2,50
3,60,85,60,65,85,Male,Left,Introvert,Black,No,5,50
3.12,2,10,3,2,40,Female,Right,Extrovert,Black,Yes,10,50
3,60,50,10,40,40,Female,Left,Extrovert,Red,Yes,10,50
3.6,90,80,40,95,80,Female,Right,Extrovert,Brown,No,15,50
3.6,40,25,30,40,20,Female,Right,Extrovert,Blond,No,20,50
3.9,50,85,75,60,70,Male,Right,Extrovert,Brown,Yes,25,50
0,50,50,10,40,50,Female,Right,Introvert,Black,No,50,50
2.24,70,40,60,50,40,Male,Right,Extrovert,Brown,Yes,200,50
2.49,60,50,75,100,10,Male,Right,Introvert,Black,Yes,30,51
3.35,85,70,45,90,65,Female,Right,Extrovert,Brown,Yes,10,53
2.93,20,10,30,10,10,Female,Right,Introvert,Brown,Yes,25,53
3.09,75,85,90,50,90,Female,Right,Introvert,Blond,No,10,54
2.9,100,80,68,70,75,Male,Left,Extrovert,Brown,No,10,54
3.46,80,60,90,50,50,Male,Right,Extrovert,Black,Yes,12,54
3.2,70,70,85,70,40,Male,Right,Introvert,Black,Yes,20,54
3.05,75,65,80,55,70,Female,Right,Extrovert,Black,Yes,100,55
2.79,5,70,5,0,2,Female,Right,Introvert,Brown,No,5,56
3.4,50,75,90,25,70,Female,Right,Extrovert,Blond,No,17,57
3.5,10,60,10,50,80,Female,Right,Introvert,Brown,Yes,20,57
3.5,60,70,80,10,10,Female,Right,Introvert,Blond,Yes,1,58
3.85,75,75,50,75,50,Male,Right,Extrovert,Brown,No,25,58
3.1,90,50,70,40,40,Male,Right,Extrovert,Brown,No,45,58
3.1,85,50,30,30,8,Female,Right,Extrovert,Brown,No,60,58
3.1,90,80,50,60,30,Male,Right,Introvert,Brown,Yes,3,60
3,0,50,50,10,0,Male,Right,Introvert,Brown,Yes,10,60
4,50,50,30,20,30,Female,Right,Introvert,Brown,Yes,10,60
3.5,75,90,70,75,20,Male,Right,Extrovert,Brown,Yes,20,60
3.48,60,50,45,65,50,Female,Right,Extrovert,Brown,No,20,60
3.69,60,40,80,40,40,Male,Right,Extrovert,Blond,Yes,30,60
2.64,80,80,70,70,60,Male,Left,Extrovert,Black,No,30,60
3.14,70,70,90,75,95,Male,Right,Introvert,Brown,Yes,50,60
0,20,50,25,80,15,Female,Right,Introvert,Blond,Yes,60,60
3.95,60,99,80,75,80,Male,Right,Introvert,Black,No,100,60
2.76,100,100,50,50,50,Male,Ambidextrous,Introvert,Brown,Yes,100,60
3.46,45,50,45,25,25,Female,Right,Extrovert,Brown,No,25,61
3.48,5,5,1,1,1,Female,Right,Extrovert,Brown,Yes,50,62
